timestamp,time_seconds,power,power_smooth,power_avg_30s,power_avg_60s,power_std_30s,power_std_60s,power_min_30s,power_max_30s,power_range_30s,power_derivative,time_in_range,power_oscillation,phase
00:21.7,0,6,5.879208892,5.879208892,5.879208892,0,0,5.879208892,5.879208892,0,0.128179144,0,0,IDLE
00:31.8,10.014264,6.2,6.007388035,5.943298464,5.943298464,0.090636342,0.090636342,5.879208892,6.007388035,0.128179144,-1.874239948,1,0.021567001,IDLE
00:41.8,20.048262,6.2,2.130728996,4.069058516,4.672441975,2.741211895,2.202120823,2.130728996,6.007388035,3.876659039,-1.081529912,2,0.829685683,IDLE
00:51.8,30.08349,5.9,3.844328212,2.987528604,4.465413534,1.211697625,1.845083697,2.130728996,3.844328212,1.713599215,1.836351749,3,0.868152108,IDLE
00:59.3,37.562709,6.3,5.803432494,4.823880353,4.446469434,1.385295923,1.826019665,3.844328212,5.803432494,1.959104282,1.952468127,5,0.871850853,IDLE
01:01.8,40.015437,6.4,7.749264466,6.77634848,4.881938542,1.375910982,2.430123331,5.803432494,7.749264466,1.945831971,2.061359922,5,1.150881821,IDLE
01:11.9,50.151624,6,9.926152337,8.837708401,6.830794377,1.539292176,2.607634995,7.749264466,9.926152337,2.176887872,2.196583851,5,0.890353727,IDLE
01:21.8,60.083723,6.5,12.14243217,11.03429225,8.905320366,1.567146497,2.737344476,9.926152337,12.14243217,2.21627983,2.407518797,5,0.711821552,IDLE
01:22.0,60.261796,11.8,14.74118993,13.44181105,11.13975973,1.837599238,2.996884635,12.14243217,14.74118993,2.598757764,2.520496894,5,0.627654906,IDLE
01:23.0,61.251268,7.8,17.18342596,15.96230794,13.4983001,1.726921654,3.14767349,14.74118993,17.18342596,2.442236025,2.499885584,5,0.537643483,WASHING
01:27.1,65.312519,9.4,19.7409611,18.46219353,15.95200229,1.808450442,3.258399617,17.18342596,19.7409611,2.557535142,2.486580582,5,0.476336971,WASHING
01:27.1,65.32076,9.4,22.15658712,20.94877411,18.45554103,1.708105541,3.202328723,19.7409611,22.15658712,2.415626022,2.302713305,5,0.401797854,WASHING
01:28.0,66.258984,82.2,24.34638771,23.25148741,20.85684047,1.548422846,3.087903401,22.15658712,24.34638771,2.189800588,2.159414841,5,0.343434636,WASHING
01:29.0,67.255593,23.6,26.4754168,25.41090226,23.17983818,1.50545091,2.89220761,24.34638771,26.4754168,2.129029094,2.204315136,5,0.290530735,WASHING
01:29.0,67.259976,23.6,28.75501798,27.61521739,25.4333524,1.611921451,2.830667965,26.4754168,28.75501798,2.279601177,1.959055247,5,0.259440065,WASHING
01:30.0,68.242475,27.2,30.3935273,29.57427264,27.49258745,1.158601049,2.642119842,28.75501798,30.3935273,1.638509317,1.598643347,5,0.219955265,WASHING
01:31.7,69.994726,27.4,31.95230467,31.17291599,29.39406669,1.102222055,2.343103605,30.3935273,31.95230467,1.558777378,1.016639425,5,0.1863263,WASHING
01:34.0,72.277012,29.9,32.42680615,32.18955541,30.88191402,0.335523208,1.66279245,31.95230467,32.42680615,0.474501471,-0.070987251,5,0.118897684,WASHING
01:35.0,73.243473,26.4,31.81033017,32.11856816,31.64574207,0.435914341,0.875437568,31.81033017,32.42680615,0.616475973,-1.464056881,5,0.064251259,WASHING
01:38.0,76.270712,29.2,29.49869238,30.65451128,31.42203334,1.634574757,1.309041755,29.49869238,31.81033017,2.31163779,-3.370823799,5,0.093186639,WASHING
01:39.0,77.243139,27.5,25.06868258,27.28368748,29.70112782,3.132489975,3.335595197,25.06868258,29.49869238,4.430009807,-4.20116051,5,0.247738852,WASHING
01:41.9,80.152338,28.1,21.09637136,23.08252697,26.86851912,2.808848196,4.7573245,21.09637136,25.06868258,3.972311213,-3.174174567,5,0.398755077,WASHING
01:45.1,83.336982,29.6,18.72033344,19.9083524,23.59601994,1.680112526,4.72690311,18.72033344,21.09637136,2.376037921,0.592677346,5,0.456787141,WASHING
01:46.8,85.107507,27.5,22.28172605,20.50102975,21.79177836,2.518284866,2.639161152,18.72033344,22.28172605,3.561392612,1.821346845,5,0.29131853,WASHING
01:47.8,86.092719,18.6,22.36302713,22.32237659,21.1153645,0.057488544,1.698390986,22.28172605,22.36302713,0.081301079,0.033491337,5,0.172513883,WASHING
01:47.8,86.099258,18.6,22.34870873,22.35586793,21.42844884,0.010124641,1.805758,22.34870873,22.36302713,0.014318405,0.197858777,5,0.169993337,WASHING
01:48.8,87.06392,7.6,22.75874469,22.55372671,22.43805165,0.289939207,0.216712215,22.34870873,22.75874469,0.410035959,0.462602158,5,0.02125936,WASHING
01:49.8,88.065241,7,23.27391304,23.01632887,22.6860984,0.364279038,0.435511336,22.75874469,23.27391304,0.515168356,0.762830991,5,0.040782873,WASHING
01:52.6,90.816094,7.3,24.28440667,23.77915986,23.16644328,0.714526895,0.83592261,23.27391304,24.28440667,1.010493625,1.013354037,5,0.083556109,WASHING
01:52.8,91.065014,26.6,25.30062112,24.79251389,23.90442138,0.718572128,1.126037059,24.28440667,25.30062112,1.016214449,1.165201046,5,0.106334986,WASHING
01:53.8,92.09515,52.7,26.61480876,25.95771494,24.8684374,0.929270994,1.4283085,25.30062112,26.61480876,1.314187643,1.399068323,5,0.134342803,WASHING
01:53.8,92.100189,52.7,28.09875776,27.35678326,26.07464858,1.049310403,1.652561206,26.61480876,28.09875776,1.483949003,2.116851912,5,0.146285805,WASHING
01:54.8,93.061336,28.2,30.84851259,29.47363517,27.71567506,1.944370281,2.380883273,28.09875776,30.84851259,2.749754822,2.834063419,5,0.200171609,WASHING
01:55.8,94.064723,27.4,33.7668846,32.30769859,29.83224093,2.063600643,3.155474743,30.84851259,33.7668846,2.918372017,2.608450474,5,0.239743156,WASHING
01:56.8,95.060844,30.4,36.06541353,34.91614907,32.19489212,1.625305394,3.466177092,33.7668846,36.06541353,2.298528931,0.00037594,5,0.247450915,WASHING
01:57.8,96.062565,32.9,33.76763648,34.91652501,33.6121118,1.624773735,2.137312375,33.76763648,36.06541353,2.297777051,-1.742857143,5,0.155208956,WASHING
02:00.0,98.27823,32.9,32.57969925,33.17366787,34.04490847,0.839998474,1.458704425,32.57969925,33.76763648,1.187937234,0.14300425,5,0.10238577,WASHING
02:00.8,99.060728,35,34.05364498,33.31667212,34.11659856,1.042237024,1.447489434,32.57969925,34.05364498,1.473945734,0.575890814,5,0.102170625,WASHING
02:01.8,100.060875,34.8,33.73148088,33.89256293,33.5331154,0.227804424,0.651741872,33.73148088,34.05364498,0.322164106,-0.774713959,5,0.043954929,WASHING
02:02.6,100.815183,34.8,32.50421706,33.11784897,33.21726054,0.867806564,0.791386313,32.50421706,33.73148088,1.227263812,-0.875956195,5,0.046645264,WASHING
02:11.9,110.165495,37.1,31.97956849,32.24189278,33.06722785,0.370982567,0.985602164,31.97956849,32.50421706,0.524648578,0.437152664,5,0.062723021,WASHING
02:12.6,110.816096,37.1,33.37852239,32.67904544,32.8984472,0.989209794,0.800868859,31.97956849,33.37852239,1.398953907,1.699934619,5,0.053252128,WASHING
02:12.8,111.059695,19.6,35.37943772,34.37898006,33.31043642,1.4148608,1.495170136,33.37852239,35.37943772,2.000915332,1.207600523,5,0.102066184,WASHING
02:13.8,112.075435,13.3,35.79372344,35.58658058,34.13281301,0.292944238,1.781208667,35.37943772,35.79372344,0.414285714,0.35699575,5,0.111744521,WASHING
02:13.8,112.080471,13.3,36.09342923,35.94357633,35.1612782,0.211923994,1.224024014,35.79372344,36.09342923,0.299705786,0.208221641,5,0.077212971,WASHING
02:17.9,116.207214,73,36.21016672,36.15179797,35.86918928,0.082545875,0.370630475,36.09342923,36.21016672,0.116737496,0.147580909,5,0.02315996,WASHING
02:18.0,116.216244,73,36.38859104,36.29937888,36.12147761,0.126165048,0.249949897,36.21016672,36.38859104,0.178424322,0.21665577,5,0.016468529,WASHING
02:18.8,117.06178,24.3,36.64347826,36.51603465,36.33391631,0.18023248,0.239420082,36.38859104,36.64347826,0.254887218,1.281039555,5,0.015138721,WASHING
02:19.8,118.074492,34.5,38.95067015,37.79707421,37.04822654,1.631431033,1.280699825,36.64347826,38.95067015,2.307191893,1.905475646,5,0.073971243,WASHING
02:19.8,118.081043,34.5,40.45442955,39.70254985,38.10929225,1.063318468,1.94225033,38.95067015,40.45442955,1.503759398,1.194246486,5,0.106688898,WASHING
02:22.7,120.912855,35,41.33916313,40.89679634,39.34693527,0.625601109,2.054362939,40.45442955,41.33916313,0.884733573,0.624288983,5,0.119340546,WASHING
02:22.8,121.064763,36.3,41.70300752,41.52108532,40.61181759,0.257276838,1.225276675,41.33916313,41.70300752,0.363844394,-2.511196469,5,0.067771832,WASHING
02:23.8,122.06524,36.9,36.31677019,39.00988885,39.9533426,3.808644943,2.48042825,36.31677019,41.70300752,5.386237332,-3.100147107,5,0.134813181,WASHING
02:24.8,123.07393,38.4,35.50271331,35.90974175,38.71541353,0.575625141,3.26009777,35.50271331,36.31677019,0.814056881,-1.367963387,5,0.160150531,WASHING
02:32.6,130.858587,37.1,33.58084341,34.54177836,36.77583361,1.358967233,3.47929972,33.58084341,35.50271331,1.921869892,-2.917146126,5,0.22085601,WASHING
02:32.8,131.071781,41.3,29.66842105,31.62463223,33.76718699,2.766500382,2.963501994,29.66842105,33.58084341,3.91242236,-1.433164433,5,0.196887853,WASHING
02:34.8,133.071265,44.1,30.71451455,30.1914678,32.36662308,0.739699804,2.665780042,29.66842105,30.71451455,1.046093495,2.056276561,5,0.180256434,WASHING
02:35.8,134.083795,45.2,33.78097417,32.24774436,31.9361883,2.168314397,2.061017581,30.71451455,33.78097417,3.066459627,2.021232429,5,0.128774071,WASHING
02:37.8,136.088362,14.3,34.75697941,34.26897679,32.23022229,0.690139917,2.425525954,33.78097417,34.75697941,0.97600523,0.974681268,5,0.157881573,WASHING
02:37.8,136.093341,14.3,35.73033671,35.24365806,33.74570121,0.688267552,2.171850089,34.75697941,35.73033671,0.973357306,1.237087283,5,0.148635881,WASHING
02:38.8,137.081174,12.4,37.23115397,36.48074534,35.37486107,1.061238062,1.471330402,35.73033671,37.23115397,1.500817261,1.932902909,5,0.097531965,WASHING
02:42.6,140.893045,12.6,39.59614253,38.41364825,36.82865315,1.672299447,2.107062369,37.23115397,39.59614253,2.364988558,2.48836221,5,0.131396687,WASHING
02:42.8,141.076238,105.6,42.20787839,40.90201046,38.6913779,1.846776138,2.8333957,39.59614253,42.20787839,2.611735861,2.690372671,5,0.167415633,WASHING
02:43.8,142.087247,38.8,44.97688787,43.59238313,41.00301569,1.957985381,3.339140965,42.20787839,44.97688787,2.76900948,2.760640732,5,0.18890644,WASHING
02:43.8,142.093766,38.8,47.72915986,46.35302386,43.62751716,1.946150184,3.507688211,44.97688787,47.72915986,2.752271984,2.403220007,5,0.186419436,WASHING
02:44.9,143.114293,59.4,49.78332788,48.75624387,46.1743135,1.452516143,3.296916116,47.72915986,49.78332788,2.054168029,2.464628964,5,0.164061981,WASHING
02:45.8,144.082247,62,52.65841778,51.22087283,48.78694835,2.032995564,3.246358221,49.78332788,52.65841778,2.875089899,3.119369075,5,0.157450507,WASHING
02:47.9,146.114878,59.7,56.02206603,54.34024191,51.54824289,2.378458488,3.603142241,52.65841778,56.02206603,3.363648251,3.528636809,5,0.160876599,WASHING
02:48.8,147.080019,51.7,59.7156914,57.86887872,54.54487578,2.611787545,4.287597905,56.02206603,59.7156914,3.693625368,2.669614253,5,0.18209526,WASHING
02:49.8,148.089216,65,61.36129454,60.53849297,57.43936744,1.163617138,3.891417302,59.7156914,61.36129454,1.645603138,1.689653482,5,0.151514144,WASHING
02:49.8,148.094076,65,63.09499837,62.22814645,60.04851259,1.225913731,3.018140368,61.36129454,63.09499837,1.733703825,1.214759725,5,0.117786968,WASHING
02:51.8,150.091521,58,63.79081399,63.44290618,61.99069958,0.492015948,1.828633425,63.09499837,63.79081399,0.695815626,-0.079731939,5,0.065737644,WASHING
02:51.8,150.096742,58,62.93553449,63.36317424,62.79566035,0.604773936,1.025817409,62.93553449,63.79081399,0.855279503,2.466230794,5,0.038689288,WASHING
02:52.6,150.829522,58,68.72327558,65.82940503,64.63615561,4.092550974,2.749935148,62.93553449,68.72327558,5.787741092,3.166999019,5,0.089543398,WASHING
02:52.8,151.077526,61.7,69.26953253,68.99640405,66.17978915,0.386261991,3.278629184,68.72327558,69.26953253,0.546256947,0.816492318,5,0.095708947,WASHING
02:55.8,154.111353,74.9,70.35626022,69.81289637,67.8211507,0.768432518,3.327043995,69.26953253,70.35626022,1.086727689,1.483115397,5,0.109416097,WASHING
