timestamp,power_w
2025-11-30T21:00:21.738331,6
2025-11-30T21:00:31.752595,6.2
2025-11-30T21:00:41.786593,6.2
2025-11-30T21:00:51.821821,5.9
2025-11-30T21:00:59.301040,6.3
2025-11-30T21:01:01.753768,6.4
2025-11-30T21:01:11.889955,6
2025-11-30T21:01:21.822054,6.5
2025-11-30T21:01:22.000127,11.8
2025-11-30T21:01:22.989599,7.8
2025-11-30T21:01:27.050850,9.4
2025-11-30T21:01:27.059091,9.4
2025-11-30T21:01:27.997315,82.2
2025-11-30T21:01:28.993924,23.6
2025-11-30T21:01:28.998307,23.6
2025-11-30T21:01:29.980806,27.2
2025-11-30T21:01:31.733057,27.4
2025-11-30T21:01:34.015343,29.9
2025-11-30T21:01:34.981804,26.4
2025-11-30T21:01:38.009043,29.2
2025-11-30T21:01:38.981470,27.5
2025-11-30T21:01:41.890669,28.1
2025-11-30T21:01:45.075313,29.6
2025-11-30T21:01:46.845838,27.5
2025-11-30T21:01:47.831050,18.6
2025-11-30T21:01:47.837589,18.6
2025-11-30T21:01:48.802251,7.6
2025-11-30T21:01:49.803572,7
2025-11-30T21:01:52.554425,7.3
2025-11-30T21:01:52.803345,26.6
2025-11-30T21:01:53.833481,52.7
2025-11-30T21:01:53.838520,52.7
2025-11-30T21:01:54.799667,28.2
2025-11-30T21:01:55.803054,27.4
2025-11-30T21:01:56.799175,30.4
2025-11-30T21:01:57.800896,32.9
2025-11-30T21:02:00.016561,32.9
2025-11-30T21:02:00.799059,35
2025-11-30T21:02:01.799206,34.8
2025-11-30T21:02:02.553514,34.8
2025-11-30T21:02:11.903826,37.1
2025-11-30T21:02:12.554427,37.1
2025-11-30T21:02:12.798026,19.6
2025-11-30T21:02:13.813766,13.3
2025-11-30T21:02:13.818802,13.3
2025-11-30T21:02:17.945545,73
2025-11-30T21:02:17.954575,73
2025-11-30T21:02:18.800111,24.3
2025-11-30T21:02:19.812823,34.5
2025-11-30T21:02:19.819374,34.5
2025-11-30T21:02:22.651186,35
2025-11-30T21:02:22.803094,36.3
2025-11-30T21:02:23.803571,36.9
2025-11-30T21:02:24.812261,38.4
2025-11-30T21:02:32.596918,37.1
2025-11-30T21:02:32.810112,41.3
2025-11-30T21:02:34.809596,44.1
2025-11-30T21:02:35.822126,45.2
2025-11-30T21:02:37.826693,14.3
2025-11-30T21:02:37.831672,14.3
2025-11-30T21:02:38.819505,12.4
2025-11-30T21:02:42.631376,12.6
2025-11-30T21:02:42.814569,105.6
2025-11-30T21:02:43.825578,38.8
2025-11-30T21:02:43.832097,38.8
2025-11-30T21:02:44.852624,59.4
2025-11-30T21:02:45.820578,62
2025-11-30T21:02:47.853209,59.7
2025-11-30T21:02:48.818350,51.7
